city_name,location
adelaide-sa,5159-flagstaff-hill
adelaide-sa,5025-flinders-park
adelaide-sa,5035-forestville
adelaide-sa,5063-frewville
adelaide-sa,5024-fulham
adelaide-sa,5024-fulham-gardens
adelaide-sa,5063-fullarton
adelaide-sa,5118-gawler
mid-north,5118-gawler-belt
adelaide-sa,5118-gawler-east
adelaide-sa,5118-gawler-south
adelaide-sa,5118-gawler-west
adelaide-sa,5094-gepps-cross
adelaide-sa,5081-gilberton
adelaide-sa,5086-gilles-plains
adelaide-sa,5013-gillman
adelaide-sa,5037-glandore
adelaide-sa,5015-glanville
adelaide-sa,5052-glenalta
adelaide-sa,5045-glenelg-east
adelaide-sa,5045-glenelg-south
adelaide-sa,5045-glenelg-north
adelaide-sa,5045-glenelg
adelaide-sa,5044-glengowrie
adelaide-sa,5064-glen-osmond
adelaide-sa,5065-glenside
adelaide-sa,5064-glenunga
adelaide-sa,5110-globe-derby-park
adelaide-sa,5070-glynde
adelaide-sa,5125-golden-grove
adelaide-sa,5034-goodwood
adelaide-sa,5114-gould-creek
adelaide-sa,5022-grange
adelaide-sa,5107-green-fields
adelaide-sa,5086-greenacres
adelaide-sa,5140-greenhill
adelaide-sa,5125-greenwith
adelaide-sa,5096-gulfview-heights
adelaide-sa,5163-hackham
adelaide-sa,5163-hackham-west
adelaide-sa,5069-hackney
adelaide-sa,5245-hahndorf
adelaide-sa,5158-hallett-cove
adelaide-sa,5086-hampstead-gardens
adelaide-sa,5159-happy-valley
canberra-act,2913-casey
south,5255-hartley
adelaide-sa,5062-hawthorn
adelaide-sa,5051-hawthorndene
adelaide-sa,hay-valley
adelaide-sa,5066-hazelwood-park
adelaide-sa,5153-heathfield
adelaide-sa,5068-heathpool
adelaide-sa,5073-hectorville
adelaide-sa,5014-hendon
adelaide-sa,5022-henley-beach
adelaide-sa,5022-henley-beach-south
adelaide-sa,5118-hewett
adelaide-sa,5089-highbury
adelaide-sa,5063-highgate
adelaide-sa,5112-hillbank
adelaide-sa,5086-hillcrest
mid-north,5116-hillier
adelaide-sa,5033-hilton
adelaide-sa,5007-hindmarsh
adelaide-sa,5088-holden-hill
adelaide-sa,5090-hope-valley
adelaide-sa,5141-horsnell-gully
adelaide-sa,5131-houghton
adelaide-sa,5048-hove
adelaide-sa,5114-humbug-scrub
adelaide-sa,5163-huntfield-heights
adelaide-sa,5061-hyde-park
adelaide-sa,5098-ingle-farm
adelaide-sa,5133-inglewood
adelaide-sa,5070-joslin
adelaide-sa,5118-kalbeeba
south,5157-kangarilla
adelaide-sa,5252-kanmantoo
adelaide-sa,5068-kensington
adelaide-sa,5068-kensington-gardens
adelaide-sa,5068-kensington-park
adelaide-sa,5067-kent-town
adelaide-sa,5035-keswick
adelaide-sa,5035-keswick-terminal
adelaide-sa,5025-kidman-park
adelaide-sa,5084-kilburn
adelaide-sa,5009-kilkenny
adelaide-sa,5118-kingsford
adelaide-sa,5034-kings-park
adelaide-sa,5049-kingston-park
adelaide-sa,5062-kingswood
adelaide-sa,5087-klemzig
adelaide-sa,5115-kudla
adelaide-sa,5037-kurralta-park
adelaide-sa,5016-largs-bay
adelaide-sa,5016-largs-north
adelaide-sa,5068-leabrook
adelaide-sa,5240-lenswood
adelaide-sa,5065-linden-park
adelaide-sa,5250-littlehampton
adelaide-sa,5241-lobethal
adelaide-sa,5032-lockleys
adelaide-sa,5153-longwood
adelaide-sa,5160-lonsdale
adelaide-sa,5131-lower-hermitage
adelaide-sa,5062-lower-mitcham
adelaide-sa,5062-lynton
adelaide-sa,5121-macdonald-park
adelaide-sa,5072-magill
adelaide-sa,5061-malvern
adelaide-sa,5086-manningham
adelaide-sa,5012-mansfield-park
adelaide-sa,5137-marble-hill
adelaide-sa,5070-marden
adelaide-sa,5049-marino
adelaide-sa,5043-marion
adelaide-sa,5033-marleston
adelaide-sa,5068-marryatville
south,5170-maslin-beach
adelaide-sa,5095-mawson-lakes
adelaide-sa,5069-maylands
south,5171-mclaren-flat
south,5171-mclaren-vale
adelaide-sa,5081-medindie
adelaide-sa,5081-medindie-gardens
adelaide-sa,5039-melrose-park
adelaide-sa,5031-mile-end
adelaide-sa,5031-mile-end-south
adelaide-sa,5231-millbrook
adelaide-sa,5034-millswood
adelaide-sa,5062-mitcham
adelaide-sa,5062-springfield
adelaide-sa,5043-mitchell-park
south,5169-moana
adelaide-sa,5092-modbury
adelaide-sa,5092-modbury-heights
adelaide-sa,5092-modbury-north
adelaide-sa,2617-molonglo
adelaide-sa,5134-montacute
adelaide-sa,5162-morphett-vale
adelaide-sa,5043-morphettville
adelaide-sa,5251-mount-barker
adelaide-sa,5251-mount-barker-junction
adelaide-sa,5251-mount-barker-springs
adelaide-sa,5251-mount-barker-summit
adelaide-sa,5155-mount-george
adelaide-sa,5064-mount-osmond
adelaide-sa,mount-torrens
adelaide-sa,5601-mullaquana
adelaide-sa,5115-munno-para
adelaide-sa,5115-munno-para-downs
adelaide-sa,5115-munno-para-west
adelaide-sa,5153-mylor
adelaide-sa,5064-myrtle-bank
adelaide-sa,5083-nailsworth
adelaide-sa,5062-netherby
adelaide-sa,5037-netley
adelaide-sa,5015-new-port
adelaide-sa,5074-newton
adelaide-sa,5168-noarlunga-centre
adelaide-sa,5168-noarlunga-downs
adelaide-sa,5006-north-adelaide
adelaide-sa,5048-north-brighton
adelaide-sa,5085-northfield
adelaide-sa,5085-northgate
adelaide-sa,5018-north-haven
adelaide-sa,5037-north-plympton
adelaide-sa,5136-norton-summit
adelaide-sa,5067-norwood
adelaide-sa,5040-novar-gardens
adelaide-sa,5158-ohalloran-hill
adelaide-sa,5166-osullivan-beach
adelaide-sa,5243-oakbank
adelaide-sa,5086-oakden
adelaide-sa,5046-oaklands-park
adelaide-sa,5168-old-noarlunga
adelaide-sa,5161-old-reynella
adelaide-sa,5114-one-tree-hill
adelaide-sa,5163-onkaparinga-hills
adelaide-sa,5017-osborne
adelaide-sa,5013-ottoway
adelaide-sa,5017-outer-harbor
adelaide-sa,5082-ovingham
adelaide-sa,5245-paechtown
adelaide-sa,5041-panorama
adelaide-sa,5132-paracombe
adelaide-sa,5075-paradise
adelaide-sa,5106-parafield
adelaide-sa,5107-parafield-gardens
adelaide-sa,5096-para-hills
adelaide-sa,5096-para-hills-west
adelaide-sa,5108-paralowie
adelaide-sa,5093-para-vista
adelaide-sa,5043-park-holme
adelaide-sa,5063-parkside
adelaide-sa,5042-pasadena
adelaide-sa,5070-payneham
adelaide-sa,5070-payneham-south
adelaide-sa,5121-penfield
adelaide-sa,5121-penfield-gardens
adelaide-sa,5013-pennington
adelaide-sa,5016-peterhead
adelaide-sa,5038-plympton
adelaide-sa,5038-plympton-park
adelaide-sa,5095-pooraka
adelaide-sa,5015-port-adelaide
adelaide-sa,5167-port-noarlunga
adelaide-sa,5167-port-noarlunga-south
south,5173-port-willunga
adelaide-sa,5082-prospect
adelaide-sa,5014-queenstown
adelaide-sa,5502-redbanks
south,5255-red-creek
adelaide-sa,5097-redwood-park
adelaide-sa,5010-regency-park
adelaide-sa,5118-reid
adelaide-sa,5008-renown-park
adelaide-sa,5161-reynella
adelaide-sa,5161-reynella-east
adelaide-sa,5033-richmond
adelaide-sa,5097-ridgehaven
adelaide-sa,5008-ridleyton
adelaide-sa,5254-rockleigh
adelaide-sa,5067-rose-park
adelaide-sa,5013-rosewater
adelaide-sa,5072-rosslyn-park
adelaide-sa,5073-rostrevor
adelaide-sa,5014-royal-park
adelaide-sa,5070-royston-park
adelaide-sa,5108-salisbury
adelaide-sa,5108-salisbury-downs
adelaide-sa,5109-salisbury-east
adelaide-sa,5109-salisbury-heights
adelaide-sa,5108-salisbury-north
adelaide-sa,5109-salisbury-park
adelaide-sa,5109-salisbury-plain
adelaide-sa,5106-salisbury-south
adelaide-sa,5114-sampson-flat
adelaide-sa,5049-seacliff
adelaide-sa,5049-seacliff-park
adelaide-sa,5047-seacombe-gardens
adelaide-sa,5047-seacombe-heights
adelaide-sa,5169-seaford
south,5169-seaford-heights
adelaide-sa,5169-seaford-meadows
south,5169-seaford-rise
adelaide-sa,5023-seaton
adelaide-sa,5049-seaview-downs
adelaide-sa,5083-sefton-park
adelaide-sa,5019-semaphore
adelaide-sa,5019-semaphore-park
adelaide-sa,5019-semaphore-south
adelaide-sa,5158-sheidow-park
adelaide-sa,5114-smithfield
adelaide-sa,5114-smithfield-plains
adelaide-sa,5044-somerton-park
adelaide-sa,5048-south-brighton
adelaide-sa,5038-south-plympton
adelaide-sa,5097-st-agnes
adelaide-sa,5011-st-clair
adelaide-sa,5069-stepney
adelaide-sa,5064-st-georges
adelaide-sa,5152-stirling
adelaide-sa,st-morris
adelaide-sa,5110-st-kilda
adelaide-sa,5042-st-marys
adelaide-sa,5068-st-morris
adelaide-sa,5066-stonyfell
adelaide-sa,5069-st-peters
adelaide-sa,5047-sturt
adelaide-sa,5141-summertown
adelaide-sa,5126-surrey-downs
adelaide-sa,5017-taperoo
south,5171-tatachilla
adelaide-sa,5091-tea-tree-gully
adelaide-sa,5022-tennyson
adelaide-sa,5072-teringie
south,5031-thebarton
adelaide-sa,5082-thorngate
adelaide-sa,5065-toorak-gardens
adelaide-sa,5062-torrens-park
adelaide-sa,5031-torrensville
adelaide-sa,5250-totness
adelaide-sa,5073-tranmere
adelaide-sa,5068-trinity-gardens
adelaide-sa,5158-trott-park
adelaide-sa,5065-tusmore
adelaide-sa,5114-uleybury
adelaide-sa,5032-underdale
adelaide-sa,5061-unley
adelaide-sa,5061-unley-park
adelaide-sa,5131-upper-hermitage
adelaide-sa,5156-upper-sturt
adelaide-sa,5064-urrbrae
adelaide-sa,5081-vale-park
adelaide-sa,5093-valley-view
adelaide-sa,5245-verdun
adelaide-sa,5120-virginia
adelaide-sa,5091-vista
adelaide-sa,5081-walkerville
adelaide-sa,5098-walkley-heights
adelaide-sa,5254-wall-flat
adelaide-sa,5046-warradale
adelaide-sa,5066-waterfall-gully
adelaide-sa,5110-waterloo-corner
adelaide-sa,5066-wattle-park
adelaide-sa,5034-wayville
adelaide-sa,5007-welland
adelaide-sa,5680-westall
adelaide-sa,5024-west-beach
adelaide-sa,5041-westbourne-park
adelaide-sa,5008-west-croydon
adelaide-sa,5007-west-hindmarsh
adelaide-sa,5021-west-lakes
adelaide-sa,5020-west-lakes-shore
adelaide-sa,5033-west-richmond
adelaide-sa,5118-willaston
mid-north,williamstown
south,5172-willunga
adelaide-sa,5087-windsor-gardens
adelaide-sa,5013-wingfield
adelaide-sa,5162-woodcroft
adelaide-sa,5072-woodforde
adelaide-sa,5244-woodside
adelaide-sa,5011-woodville
adelaide-sa,5012-woodville-gardens
adelaide-sa,5012-woodville-north
adelaide-sa,5011-woodville-park
adelaide-sa,5011-woodville-south
adelaide-sa,5011-woodville-west
adelaide-sa,5127-wynn-vale
adelaide-sa,5126-yatala-vale
adelaide-sa,5114-yattalunga
brisbane-qld,4110-acacia-ridge
brisbane-qld,4035-albany-creek
brisbane-qld,4207-alberton
brisbane-qld,4010-albion
brisbane-qld,4051-alderley
brisbane-qld,4740-alexandra
brisbane-qld,4115-algester
brisbane-qld,4370-allan
brisbane-qld,4306-amberley
brisbane-qld,4103-annerley
brisbane-qld,4070-anstead
brisbane-qld,4054-arana-hills
brisbane-qld,4108-archerfield
brisbane-qld,4007-ascot
brisbane-qld,4060-ashgrove
brisbane-qld,4034-aspley
brisbane-qld,4066-auchenflower
brisbane-qld,4300-augustine-heights
brisbane-qld,4207-bahrs-scrub
brisbane-qld,4036-bald-hills
brisbane-qld,4171-balmoral
brisbane-qld,4014-banyo
brisbane-qld,4065-bardon
brisbane-qld,4870-barron-gorge
brisbane-qld,4305-basin-pocket
brisbane-qld,4207-beenleigh
brisbane-qld,4300-bellbird-park
brisbane-qld,4070-bellbowrie
brisbane-qld,4117-berrinba
brisbane-qld,4205-bethania
brisbane-qld,4159-birkdale
brisbane-qld,4306-blacksoil
brisbane-qld,4304-blackstone
south-eastern,4226-robina
brisbane-qld,4034-boondall
brisbane-qld,4304-booval
brisbane-qld,4124-boronia-heights
brisbane-qld,4006-bowen-hills
brisbane-qld,4017-bracken-ridge
brisbane-qld,4305-brassall
brisbane-qld,4305-ipswich
brisbane-qld,4500-brendale
brisbane-qld,4035-bridgeman-downs
brisbane-qld,4017-brighton
brisbane-qld,4000-brisbane-city
brisbane-qld,4008-brisbane-airport
brisbane-qld,4106-rocklea
brisbane-qld,4069-brookfield
brisbane-qld,4053-mitchelton
brisbane-qld,4300-brookwater
brisbane-qld,4118-browns-plains
brisbane-qld,4207-buccan
brisbane-qld,4171-bulimba
brisbane-qld,4304-bundamba
brisbane-qld,4055-bunya
brisbane-qld,4102-woolloongabba
brisbane-qld,4156-burbank
brisbane-qld,4116-calamvale
brisbane-qld,4300-camira
brisbane-qld,4152-camp-hill
brisbane-qld,4370-canningvale
brisbane-qld,4170-cannon-hill
brisbane-qld,4157-capalaba
brisbane-qld,4155-chandler
brisbane-qld,4130-carbrook
brisbane-qld,4152-carina
brisbane-qld,4152-carina-heights
brisbane-qld,4152-carindale
brisbane-qld,4300-carole-park
brisbane-qld,4034-carseldine
brisbane-qld,4500-cashmere
central-coast,4701-norman-gardens
brisbane-qld,4133-chambers-flat
brisbane-qld,4069-chapel-hill
brisbane-qld,4068-chelmer
brisbane-qld,4032-chermside
brisbane-qld,4032-chermside-west
brisbane-qld,4305-churchill
brisbane-qld,4306-chuwar
brisbane-qld,4011-clayfield
brisbane-qld,4163-cleveland
south-eastern,4019-clontarf
brisbane-qld,4305-coalfalls
brisbane-qld,4301-collingwood-park
brisbane-qld,4184-coochiemudlo-island
brisbane-qld,4108-coopers-plains
brisbane-qld,4151-coorparoo
brisbane-qld,4075-corinda
brisbane-qld,4130-cornubia
brisbane-qld,4132-crestmead
brisbane-qld,4127-daisy-hill
brisbane-qld,4503-dakabin
brisbane-qld,4076-darra
brisbane-qld,4017-deagon
brisbane-qld,4508-deception-bay
brisbane-qld,4306-deebing-heights
brisbane-qld,4818-deeragun
brisbane-qld,4303-dinmore
brisbane-qld,4077-doolandella
brisbane-qld,4116-drewvale
brisbane-qld,4405-ducklo
brisbane-qld,4077-durack
brisbane-qld,4102-dutton-park
brisbane-qld,4207-eagleby
brisbane-qld,4009-eagle-farm
brisbane-qld,4169-east-brisbane
brisbane-qld,4305-east-ipswich
brisbane-qld,4305-eastern-heights
brisbane-qld,4037-eatons-hill
brisbane-qld,4304-ebbw-vale
brisbane-qld,4207-edens-landing
brisbane-qld,4113-eight-mile-plains
brisbane-qld,4078-ellen-grove
brisbane-qld,4670-elliott-heads
brisbane-qld,4051-enoggera
brisbane-qld,4053-everton-hills
brisbane-qld,4053-everton-park
brisbane-qld,4103-fairfield
brisbane-qld,4306-fairney-view
brisbane-qld,4306-fernvale
brisbane-qld,4055-ferny-grove
brisbane-qld,4055-ferny-hills
brisbane-qld,4069-fig-tree-pocket
brisbane-qld,4018-fitzgibbon
brisbane-qld,4305-flinders-view
brisbane-qld,4118-forestdale
brisbane-qld,4078-forest-lake
brisbane-qld,4006-fortitude-valley
brisbane-qld,4300-gailes
brisbane-qld,4051-gaythorne
brisbane-qld,4034-geebung
brisbane-qld,4370-glengallan
south-eastern,4213-mudgeeraba
brisbane-qld,4300-goodna
brisbane-qld,4031-gordon-park
brisbane-qld,4075-graceville
brisbane-qld,4051-grange
brisbane-qld,4124-greenbank
brisbane-qld,4120-greenslopes
brisbane-qld,4503-griffin
brisbane-qld,4154-gumdale
brisbane-qld,4007-hamilton
central-coast,4741-hampden
brisbane-qld,4171-hawthorne
brisbane-qld,4110-heathwood
south-eastern,4212-helensvale
brisbane-qld,4174-hemmant
brisbane-qld,4011-hendra
brisbane-qld,4118-heritage-park
brisbane-qld,4006-herston
brisbane-qld,4101-highgate-hill
brisbane-qld,4118-hillcrest
brisbane-qld,4101-west-end
brisbane-qld,4121-holland-park
brisbane-qld,4121-holland-park-west
brisbane-qld,4207-holmview
south-eastern,4212-hope-island
brisbane-qld,4077-inala
brisbane-qld,4068-indooroopilly
brisbane-qld,4680-iveragh
brisbane-qld,4074-jamboree-heights
north-qld,4811-stuart
brisbane-qld,4074-jindalee
brisbane-qld,4500-joyner
brisbane-qld,4030-kalinga
brisbane-qld,4503-kallangur
brisbane-qld,4169-kangaroo-point
brisbane-qld,4306-karalee
brisbane-qld,4306-karana-downs
brisbane-qld,4117-karawatha
brisbane-qld,4306-karrabin
brisbane-qld,4031-kedron
brisbane-qld,4059-kelvin-grove
brisbane-qld,4069-kenmore
brisbane-qld,4069-kenmore-hills
brisbane-qld,4054-keperra
central-western,4655-nikenbah
brisbane-qld,4114-kingston
brisbane-qld,4021-kippa-ring
brisbane-qld,4558-kuluin
brisbane-qld,4112-kuraby
brisbane-qld,4503-kurwongbah
brisbane-qld,4870-lamb-range
brisbane-qld,4110-larapinta
brisbane-qld,4501-lawnton
brisbane-qld,4305-leichhardt
brisbane-qld,4370-leslie
brisbane-qld,4370-leslie-dam
brisbane-qld,4114-logan-central
brisbane-qld,4129-loganholme
brisbane-qld,4131-loganlea
brisbane-qld,4133-logan-reserve
brisbane-qld,4179-lota
brisbane-qld,4030-lutwyche
brisbane-qld,4124-lyons
brisbane-qld,4178-lytton
brisbane-qld,4109-macgregor
brisbane-qld,4509-mango-hill
brisbane-qld,4179-manly
brisbane-qld,4179-manly-west
brisbane-qld,4122-mansfield
brisbane-qld,4019-margate
brisbane-qld,4132-marsden
brisbane-qld,4370-massie
brisbane-qld,4053-mcdowall
brisbane-qld,4131-meadowbrook
brisbane-qld,4074-middle-park
brisbane-qld,4064-milton
brisbane-qld,4070-moggill
brisbane-qld,4305-moores-pocket
brisbane-qld,4105-moorooka
brisbane-qld,4370-morgan-park
brisbane-qld,4170-morningside
brisbane-qld,4066-mount-coot-tha
brisbane-qld,4165-mount-cotton
brisbane-qld,4306-mount-crosby
brisbane-qld,4122-mount-gravatt
brisbane-qld,4122-mount-gravatt-east
brisbane-qld,4074-mount-ommaney
brisbane-qld,4818-mount-st-john
brisbane-qld,4370-mount-tabor
brisbane-qld,4207-mount-warren-park
brisbane-qld,4564-mudjimba
brisbane-qld,4306-muirlea
brisbane-qld,4125-munruben
brisbane-qld,4172-murarrie
brisbane-qld,4503-murrumba-downs
brisbane-qld,4504-narangba
brisbane-qld,4111-nathan
brisbane-qld,4124-new-beith
brisbane-qld,4303-new-chum
brisbane-qld,4005-new-farm
brisbane-qld,4051-newmarket
brisbane-qld,4020-newport
brisbane-qld,4006-newstead
brisbane-qld,4170-norman-park
brisbane-qld,4305-north-booval
brisbane-qld,4013-northgate
brisbane-qld,4305-north-ipswich
brisbane-qld,4509-north-lakes
brisbane-qld,4280-north-maclean
brisbane-qld,4305-north-tivoli
brisbane-qld,4014-nudgee
brisbane-qld,4014-nudgee-beach
brisbane-qld,4012-nundah
brisbane-qld,4305-one-mile
brisbane-qld,4160-ormiston
brisbane-qld,4075-oxley
brisbane-qld,4064-paddington
brisbane-qld,4110-pallara
brisbane-qld,4115-parkinson
brisbane-qld,4125-park-ridge
brisbane-qld,4125-park-ridge-south
brisbane-qld,4502-petrie
brisbane-qld,4000-petrie-terrace
brisbane-qld,4069-pinjarra-hills
brisbane-qld,4008-pinkenba
brisbane-qld,4178-port-of-brisbane
brisbane-qld,4127-priestdale
brisbane-qld,4069-pullenvale
brisbane-qld,4306-purga
south-eastern,4218-broadbeach-waters
brisbane-qld,4305-raceview
brisbane-qld,4154-ransome
brisbane-qld,4301-redbank
brisbane-qld,4020-redcliffe
brisbane-qld,redbank-plains
brisbane-qld,4059-red-hill
brisbane-qld,4165-redland-bay
brisbane-qld,4118-regents-park
brisbane-qld,4077-richlands
brisbane-qld,4306-ripley
brisbane-qld,4074-riverhills
brisbane-qld,4303-riverview
brisbane-qld,4109-robertson
brisbane-qld,4123-rochedale
brisbane-qld,4123-rochedale-south
central-coast,4700-the-range
brisbane-qld,4370-rosehill
brisbane-qld,4022-rothwell
brisbane-qld,4113-runcorn
brisbane-qld,4305-sadliers-crossing
brisbane-qld,4107-salisbury
brisbane-qld,4017-sandgate
brisbane-qld,4020-scarborough
brisbane-qld,4170-seven-hills
brisbane-qld,4073-seventeen-mile-rocks
brisbane-qld,4128-shailer-park
brisbane-qld,4157-sheldon
brisbane-qld,4075-sherwood
brisbane-qld,4017-shorncliffe
brisbane-qld,4304-silkstone
brisbane-qld,4370-silverwood
brisbane-qld,4073-sinnamon-park
brisbane-qld,4127-slacks-creek
brisbane-qld,4370-sladevale
brisbane-qld,4101-south-brisbane
brisbane-qld,4280-south-maclean
brisbane-qld,4306-south-ripley
brisbane-qld,4300-springfield-central
brisbane-qld,4300-springfield-lakes
brisbane-qld,4124-spring-mountain
brisbane-qld,4300-springfield
brisbane-qld,4000-spring-hill
brisbane-qld,4127-springwood
brisbane-qld,4053-stafford
brisbane-qld,4053-stafford-heights
brisbane-qld,4067-st-lucia
brisbane-qld,4280-stockleigh
brisbane-qld,4500-strathpine
brisbane-qld,4116-stretton
brisbane-qld,4074-sumner
brisbane-qld,4109-sunnybank
brisbane-qld,4109-sunnybank-hills
brisbane-qld,4567-sunrise-beach
south-eastern,4558-maroochydore
brisbane-qld,4306-swanbank
brisbane-qld,4370-swan-creek
brisbane-qld,4018-taigum
brisbane-qld,4128-tanah-merah
brisbane-qld,4068-taringa
brisbane-qld,4121-tarragindi
brisbane-qld,4005-teneriffe
brisbane-qld,4105-tennyson
brisbane-qld,4370-the-hermitage
brisbane-qld,4700-the-keppels
brisbane-qld,4158-thorneside
brisbane-qld,4164-thornlands
brisbane-qld,4173-tingalpa
brisbane-qld,4305-tivoli
brisbane-qld,4370-toolburra
brisbane-qld,4066-toowong
south-eastern,4350-westbrook
north-qld,4810-townsville-city
brisbane-qld,4119-underwood
brisbane-qld,4069-upper-brookfield
brisbane-qld,4055-upper-kedron
brisbane-qld,4122-upper-mount-gravatt
brisbane-qld,4306-vernor
brisbane-qld,4165-victoria-point
brisbane-qld,4014-virginia
brisbane-qld,4076-wacol
brisbane-qld,4154-wakerley
brisbane-qld,4500-warner
brisbane-qld,4133-waterford
brisbane-qld,4133-waterford-west
brisbane-qld,4012-wavell-heights
brisbane-qld,4160-wellington-point
south-eastern,4507-welsby
brisbane-qld,4305-west-ipswich
brisbane-qld,4074-westlake
brisbane-qld,4503-whiteside
brisbane-qld,4370-wildash
brisbane-qld,4110-willawong
brisbane-qld,4306-willowbank
brisbane-qld,4370-willowvale
brisbane-qld,4051-wilston
brisbane-qld,4030-windsor
brisbane-qld,4122-wishart
brisbane-qld,4370-womina
brisbane-qld,4305-woodend
brisbane-qld,4114-woodridge
brisbane-qld,4019-woody-point
brisbane-qld,4030-wooloowin
brisbane-qld,4305-wulkuraka
south-eastern,4350-newtown
brisbane-qld,4178-wynnum
brisbane-qld,4178-wynnum-west
brisbane-qld,4305-yamanto
brisbane-qld,4105-yeerongpilly
brisbane-qld,4104-yeronga
brisbane-qld,4034-zillmere
canberra-act,2601-acton
canberra-act,2602-ainslie
canberra-act,2914-amaroo
canberra-act,2614-aranda
canberra-act,2906-banks
canberra-act,2600-barton
canberra-act,2620-beard
canberra-act,2617-belconnen
canberra-act,2914-bonner
canberra-act,2905-bonython
canberra-act,2612-braddon
canberra-act,2617-bruce
regional,2620-googong
canberra-act,2905-calwell
canberra-act,2612-campbell
canberra-act,2600-yarralumla
canberra-act,2609-canberra-airport
canberra-act,2600-capital-hill
canberra-act,2604-kingston
canberra-act,2611-chapman
canberra-act,2615-charnwood
canberra-act,2606-chifley
canberra-act,2601-city
canberra-act,2614-cook
illawarra-south-coast,2611-coombs
canberra-act,2620-crestwood
canberra-act,2605-curtin
canberra-act,2911-crace
canberra-act,2600-deakin
canberra-act,2602-dickson
